Feature,Chi2,P_value,Dof,CramersV,MinExpectedCount,ExpectedBelow5Rate,AssumptionPassed,P_FDR,Significant_FDR
Complain,350.92545525927073,2.664460965464137e-78,1,0.24966245605686588,270.0873889875666,0.0,True,1.865122675824896e-77,True
PreferedOrderCat,288.63939355672443,2.7708325346337443e-60,5,0.22642459743297855,44.45328596802842,0.0,True,9.697913871218105e-60,True
MaritalStatus,188.6710396770566,1.073011277910542e-41,2,0.1830620931826161,142.7893428063943,0.0,True,2.503692981791265e-41,True
AgeGroup,81.10881492998416,4.918442967906057e-16,5,0.12002724300732875,27.278152753108348,0.0,True,8.607275193835601e-16,True
CityTier,40.982404247736355,1.2612000812079958e-09,2,0.08531875687625065,40.748845470692714,0.0,True,1.7656801136911941e-09,True
PreferredLoginDevice,14.401252650894028,0.0001477040239947966,1,0.05057616989336402,275.13889875666075,0.0,True,0.0001723213613272627,True
Gender,4.662908495367532,0.03082094033489006,1,0.028778903905673597,378.18969804618115,0.0,True,0.03082094033489006,True
