Feature,Coef,OR,CI_Lower,CI_Upper,P_value,Significant,ImpactStrength,ModelType
Complain,1.7142345774468188,5.552423934937745,4.637459180958425,6.647910062444589,1.0726396506460978e-77,True,1.7142345774468188,Standardized numeric
Tenure,-1.4656152718505981,0.2309358594232912,0.19722337415090035,0.27041100679460534,4.8494755187073324e-74,True,1.4656152718505981,Standardized numeric
CityTier_3,0.7747286680879146,2.170003256164579,1.780654695727357,2.6444847184936044,1.60736086086964e-14,True,0.7747286680879146,Standardized numeric
CityTier_2,0.7724532970066248,2.165071306644707,1.4483936456510107,3.2363672520458415,0.00016579217683182032,True,0.7724532970066249,Standardized numeric
MaritalStatus_Single,0.7257231731486409,2.066224798093237,1.5928618111504214,2.680260702070576,4.5843417399956285e-08,True,0.7257231731486409,Standardized numeric
DiscountAmount,-0.6037136469048329,0.5467773231582413,0.41998293538714737,0.7118514014015842,7.292633232923111e-06,True,0.6037136469048328,Standardized numeric
DaySinceLastOrder,-0.46334203918609845,0.6291773923767815,0.5573015986664422,0.7103230854268199,7.086221955451557e-14,True,0.4633420391860985,Standardized numeric
SatisfactionScore,0.4195834653812048,1.5213277379549066,1.3916574366510455,1.6630803136730068,2.682042418815895e-20,True,0.4195834653812047,Standardized numeric
OrderCount,0.3649610928999344,1.44045796301684,1.2947432403750991,1.602571906548437,1.9843859727652042e-11,True,0.3649610928999344,Standardized numeric
